# (a_i, b_i) = (0.200, 0.250)
# b_fixed = -0.54, a = (1.379, 1.385)
# parameter space
# K=40, TARGET_UNCERTAIN_POINTS=150
used_eps,f_eps
1.953125000000000000e-03,7.142857142857143016e-01
9.765625000000000000e-04,7.042253521126760063e-01
4.882812500000000000e-04,4.587155963302752548e-01
2.441406250000000000e-04,2.895752895752895517e-01
1.220703125000000000e-04,2.164502164502164483e-01
6.103515625000000000e-05,1.794258373205741552e-01
3.051757812500000000e-05,1.262626262626262708e-01
1.525878906250000000e-05,1.224489795918367319e-01
7.629394531250000000e-06,8.761682242990653791e-02
3.814697265625000000e-06,7.136060894386299369e-02
1.907348632812500000e-06,5.215577190542419750e-02
9.536743164062500000e-07,3.981948500132731494e-02
4.768371582031250000e-07,3.289473684210526133e-02
2.384185791015625000e-07,2.498750624687656047e-02
1.192092895507812500e-07,1.884895702437798526e-02
5.960464477539062500e-08,1.674667857541587562e-02
2.980232238769531250e-08,1.175364362952515361e-02
1.490116119384765625e-08,1.019991840065279445e-02
7.450580596923828125e-09,9.076057360682518796e-03
3.725290298461914062e-09,5.358673906830523428e-03
1.862645149230957031e-09,4.878524734120402023e-03
9.313225746154785156e-10,3.809523809523809521e-03
4.656612873077392578e-10,2.736577089376607697e-03
2.328306436538696289e-10,2.443076321704290132e-03
1.164153218269348145e-10,1.991952511852117507e-03
5.820766091346740723e-11,1.402236099166136955e-03
2.910383045673370361e-11,1.371140240223769988e-03
1.455191522836685181e-11,1.095810351755122872e-03
7.275957614183425903e-12,7.037528795221987578e-04
3.637978807091712952e-12,6.062810719049350951e-04
1.818989403545856476e-12,4.898183100615212089e-04
