# (a_i, b_i) = (0.200, 0.250)
# (a_f, b_f) = (1.380, -0.540)
# r = (1.5, 3.5)
# parameter r, the changing rate
# K=40, TARGET_UNCERTAIN_POINTS=150
used_eps,f_eps
5.000000000000000000e-01,8.021390374331550666e-01
2.500000000000000000e-01,8.333333333333333703e-01
1.250000000000000000e-01,4.838709677419354982e-01
6.250000000000000000e-02,2.929687500000000000e-01
3.125000000000000000e-02,2.654867256637168382e-01
1.562500000000000000e-02,1.820388349514563131e-01
7.812500000000000000e-03,1.513622603430877789e-01
3.906250000000000000e-03,1.222493887530562290e-01
1.953125000000000000e-03,9.041591320072332738e-02
9.765625000000000000e-04,7.085498346717052087e-02
4.882812500000000000e-04,5.905511811023621965e-02
2.441406250000000000e-04,4.243281471004243383e-02
1.220703125000000000e-04,4.065040650406503975e-02
6.103515625000000000e-05,2.989238740534077426e-02
3.051757812500000000e-05,2.476882430647291827e-02
1.525878906250000000e-05,1.672986839170198525e-02
7.629394531250000000e-06,1.454615981380915496e-02
3.814697265625000000e-06,1.126295239525454232e-02
1.907348632812500000e-06,9.266123054114158708e-03
9.536743164062500000e-07,7.016230880770849519e-03
4.768371582031250000e-07,5.925340707090658021e-03
2.384185791015625000e-07,4.630487127245785928e-03
1.192092895507812500e-07,3.054740957966764307e-03
5.960464477539062500e-08,2.657972144451926314e-03
2.980232238769531250e-08,2.035443862458273263e-03
1.490116119384765625e-08,1.699967133968743362e-03
7.450580596923828125e-09,1.307998848961012921e-03
3.725290298461914062e-09,9.432716433678571197e-04
1.862645149230957031e-09,8.228556382068330250e-04
9.313225746154785156e-10,6.680294467380122484e-04
4.656612873077392578e-10,5.581436885111702630e-04
2.328306436538696289e-10,4.152410058798126457e-04
1.164153218269348145e-10,3.315935723901927874e-04
5.820766091346740723e-11,2.879730917943027521e-04
2.910383045673370361e-11,2.079059710594888233e-04
1.455191522836685181e-11,1.672117770598818896e-04
7.275957614183425903e-12,1.210210302278261207e-04
3.637978807091712952e-12,8.970186687525341131e-05
1.818989403545856476e-12,7.046448308194737766e-05
